,Host,CID_Host,Guest,CID_Guest,pH,T,DeltaG,Erreur,K,logK,Reference,Original_Value,Drop
2837,beta-cyclodextrin,444041,CCCCCCCCCCCC(=O)O,,7.0,298.0,-18.28,,1600,7.38,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2838,beta-cyclodextrin,444041,CCCCCCCCCCCC,,7.0,298.0,-13.6,,242,5.49,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2839,beta-cyclodextrin,444041,CCCCCCCCCCCCOP(=O)(O)O,,7.0,298.0,-20.49,,3900,8.27,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2840,beta-cyclodextrin,444041,OC1=CC(Cl)=CC=C1OC1=CC=C(Cl)C=C1Cl,,7.0,298.0,-16.4,,750,6.62,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2841,beta-cyclodextrin,444041,O=C1NC(=O)C2=C3C1=CC=CC3=CC=C2,,7.0,298.0,-12.24,,140,4.94,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2842,beta-cyclodextrin,444041,O=C1NC(=O)C2=CC3=CC=CC=C3C=C12,,7.0,298.0,-16.5,,780,6.66,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2843,beta-cyclodextrin,444041,C1=CC2=CC=CC3=CC=CC1=C23,,7.0,298.0,-13.78,,260,5.56,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,True
2844,beta-cyclodextrin,444041,CS(=O)(=O)NC1=CC=C([N+](=O)[O-])C=C1OC1=CC=CC=C1,,7.7,298.0,-15.51,,523,6.26,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2845,beta-cyclodextrin,444041,OC1=CC=C(CC2=CC=C(O)C=C2)C=C1,,6.0,298.0,-21.69,,6330,8.75,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2846,beta-cyclodextrin,444041,CC1=NC=C([N+](=O)[O-])N1CCOC(=O)C1=CC=CC=C1,,7.0,298.0,-17.57,,1200,7.09,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,True
2847,beta-cyclodextrin,444041,CC(=O)N[C@@H](CC1=CNC2=CC=CC=C12)C(=O)O,,6.9,298.0,-7.03,,17,2.84,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2848,beta-cyclodextrin,444041,CC(=O)N[C@@H](CC1=CNC2=CC=CC=C12)C(=O)O,,7.0,298.0,-7.03,,17,2.84,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2849,beta-cyclodextrin,444041,CC(=O)N[C@H](CC1=CNC2=CC=CC=C12)C(=O)O,,6.9,298.0,-6.3,,13,2.54,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2850,beta-cyclodextrin,444041,CC(=O)N[C@H](CC1=CNC2=CC=CC=C12)C(=O)O,,7.0,298.0,-6.3,,13,2.54,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2851,beta-cyclodextrin,444041,CCCCCC(=O)OC1=CC=C(C(=O)O)C=C1[N+](=O)[O-],,7.0,298.0,-19.51,,2630,7.87,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2852,beta-cyclodextrin,444041,O=C(O)CC[C@H](NC(=O)OCC1=CC=CC=C1)C(=O)O,,6.9,298.0,-11.04,,86,4.45,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2853,beta-cyclodextrin,444041,O=C(O)CC[C@H](NC(=O)OCC1=CC=CC=C1)C(=O)O,,7.0,298.0,-11.04,,86,4.45,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2854,beta-cyclodextrin,444041,O=C(O)CC[C@@H](NC(=O)OCC1=CC=CC=C1)C(=O)O,,6.9,298.0,-10.98,,84,4.43,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2855,beta-cyclodextrin,444041,O=C(O)CC[C@@H](NC(=O)OCC1=CC=CC=C1)C(=O)O,,7.0,298.0,-10.98,,84,4.43,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2856,beta-cyclodextrin,444041,CCCCOCCOC(=O)COC1=NC(Cl)=C(Cl)C=C1Cl,,7.0,298.0,-18.29,,1610,7.38,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2857,beta-cyclodextrin,444041,CC(C)(CO)[N+](O)=CCCC1=CC=CC=C1,,7.0,298.0,-13.53,,235,5.46,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2858,beta-cyclodextrin,444041,CCC1=CC=C(C=[N+](O)C(C)(C)CO)C=C1,,7.0,298.0,-17.29,,1075,6.98,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2859,beta-cyclodextrin,444041,CCCCCCCCCC[N+](C)(C)C,,7.0,298.0,-14.81,,394,5.98,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,True
2860,beta-cyclodextrin,444041,O=C1C2=CC=CC=C2C2=CC=CC=C12,,7.0,298.0,-15.14,,450,6.11,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2861,beta-cyclodextrin,444041,O=CC1=CC=C2SC3=CC=CC=C3OC2=C1,,7.0,298.0,-21.16,,5125,8.54,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2862,beta-cyclodextrin,444041,O=C1C2=CC=CC=C2SC2=CC=CC=C12,,7.0,298.0,-10.53,,70,4.25,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2863,beta-cyclodextrin,444041,O=C(CC1=CC=C2C=CC=CC2=C1)C(F)(F)F,,7.0,298.0,-17.8,,1320,7.19,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2864,beta-cyclodextrin,444041,O=C(O)C1=CC(N=NC2=CC=C([N+](=O)[O-])C=C2)=CC=C1O,,7.2,298.0,-15.86,,602,6.4,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2865,beta-cyclodextrin,444041,C1=CC=C2C(=C1)C=CC1=CC=CC=C12,,7.0,298.0,-18.12,,1500,7.31,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,True
2866,beta-cyclodextrin,444041,CC(=O)C1=CC=C2SC3=CC=CC=C3OC2=C1,,7.0,298.0,-22.18,,7728,8.95,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2867,beta-cyclodextrin,444041,CC1=CC(NC2=CC=CC=C2C(=O)O)=CC=C1Cl,,7.0,298.0,-15.19,,460,6.13,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2868,beta-cyclodextrin,444041,CC1=CC=CC(C(=O)C2=CC=CC=C2)=C1,,7.0,298.0,-17.91,,1380,7.23,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,True
2869,beta-cyclodextrin,444041,CC1=CC=C(C(=O)C2=CC=CC=C2)C=C1,,7.0,298.0,-16.49,,777,6.66,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,True
2870,beta-cyclodextrin,444041,O=C(O)CC1=CC=C(C2=CC=CC=C2)C=C1,,7.0,298.0,-18.74,,1930,7.57,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,True
2871,beta-cyclodextrin,444041,CC(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,,6.0,298.0,-22.21,,7810,8.96,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2872,beta-cyclodextrin,444041,CN(C)C1=CC=C(N=NC2=CC=C(S(=O)(=O)O)C=C2)C=C1,,5.8,298.0,-19.38,,2500,7.82,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2873,beta-cyclodextrin,444041,COC1=CC(N=NC2=CC=C(S(=O)(=O)O)C=C2)=C(C)C=C1N,,7.0,298.0,-11.98,,126,4.84,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2874,beta-cyclodextrin,444041,C[N+](C)(C)CC1=CC=C(Br)C2=CC=CC=C12,,7.0,298.0,-16.23,,700,6.55,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2875,beta-cyclodextrin,444041,CCCCCCC(=O)OC1=CC=C(C(=O)O)C=C1[N+](=O)[O-],,7.0,298.0,-20.36,,3704,8.22,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2876,beta-cyclodextrin,444041,C=C1C2=CC=C(N)C=C2C(=C)N1C(C)(C)C,,7.0,298.0,-20.01,,3220,8.08,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2877,beta-cyclodextrin,444041,COC(=O)[C@@H](CC1=CC=CC=C1)NC(=O)[C@H](N)CC(=O)O,,7.0,298.0,-9.49,,46,3.83,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2878,beta-cyclodextrin,444041,CCCCCCCC(=O)OC1=CC=C([N+](=O)[O-])C=C1,,7.0,298.0,-15.52,,526,6.27,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,True
2879,beta-cyclodextrin,444041,CCN(CC)CC(=O)NC1=C(C)C=CC=C1C,,7.0,298.0,-8.05,,26,3.25,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2880,beta-cyclodextrin,444041,O=C1C(O)=C(C2=CC=CC=C2)OC2=CC=CC=C12,,7.0,298.0,-17.01,,959,6.87,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2881,beta-cyclodextrin,444041,O=C1C(O)=C(C2=CC=C(O)C=C2O)OC2=CC(O)=CC(O)=C12,,7.0,298.0,-14.37,,331,5.8,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2882,beta-cyclodextrin,444041,CC1=C2C=CC=CC2=CC2=CC=CC=C12,,7.0,298.0,-13.96,,280,5.63,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2883,beta-cyclodextrin,444041,NS(=O)(=O)C1=CC=C(C2=CON=C2C2=CC=CC=C2)C=C1,,6.8,298.0,-12.4,,149,5.0,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2884,beta-cyclodextrin,444041,CC1=CC=C(C(=O)C2=CC=C(C(=O)O)C=C2)C=C1,,7.0,298.0,-16.91,,921,6.83,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,True
2885,beta-cyclodextrin,444041,CC1=CC=C(C(=O)C2=CC=CC(C(=O)O)=C2)C=C1,,7.0,298.0,-15.4,,500,6.21,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,True
2886,beta-cyclodextrin,444041,CN1C(C(=O)NC2=CC=CC=N2)=C(O)C2=CC=CC=C2S1(=O)=O,,5.5,298.0,-8.46,,30,3.42,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2887,beta-cyclodextrin,444041,CN1C(C(=O)NC2=CC=CC=N2)=C(O)C2=CC=CC=C2S1(=O)=O,,6.0,298.0,-8.32,,29,3.36,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2888,beta-cyclodextrin,444041,CN=C1C=CC2=CC3=CC=C(NC)C=C3OC2=C1,,6.0,298.0,-17.91,,1380,7.23,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2889,beta-cyclodextrin,444041,CN=C1C=CC2=CC3=CC=C(NC)C=C3OC2=C1,,7.0,298.0,-19.91,,3090,8.04,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2890,beta-cyclodextrin,444041,CC1(C)CCC2=C(O1)C1=CC=CC=C1C(=O)C2=O,,7.0,298.0,-16.48,,774,6.65,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2891,beta-cyclodextrin,444041,CCCOC/C(=N/C1=CC=C(Cl)C=C1C(F)(F)F)N1C=CN=C1,,7.0,298.0,-15.17,,457,6.12,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2892,beta-cyclodextrin,444041,CN(C)C1=CC=C(N=NC2=CC=C(C(=O)O)C=C2)C=C1,,7.2,298.0,-20.18,,3450,8.15,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2893,beta-cyclodextrin,444041,CC1=CC=CC(NC2=CC=C(C(=O)O)C=C2)=C1C,,7.0,298.0,-18.1,,1490,7.31,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,True
2894,beta-cyclodextrin,444041,CC1=CC=CC(NC2=CC=CC(C(=O)O)=C2)=C1C,,7.0,298.0,-16.8,,880,6.78,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,True
2895,beta-cyclodextrin,444041,CC1=CC=C(C(=O)C2=CC=C(CC(=O)O)N2C)C=C1,,7.0,298.0,-18.74,,1930,7.57,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2896,beta-cyclodextrin,444041,CC1=CC=C(C(=O)C2=CC=C(CC(=O)O)N2C)C=C1,,7.4,298.0,-17.95,,1400,7.24,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2897,beta-cyclodextrin,444041,CC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,,6.0,298.0,-21.47,,5800,8.67,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2898,beta-cyclodextrin,444041,CC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,,7.0,298.0,-24.28,,18000,9.8,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2899,beta-cyclodextrin,444041,C[C@H](NS(=O)(=O)C1=CC=CC2=C(N(C)C)C=CC=C12)C(=O)O,,7.0,298.0,-12.85,,179,5.19,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2900,beta-cyclodextrin,444041,C[C@@H](NS(=O)(=O)C1=CC=CC2=C(N(C)C)C=CC=C12)C(=O)O,,7.0,298.0,-12.31,,144,4.97,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2901,beta-cyclodextrin,444041,CCCCCCCC(=O)OC1=CC=C(C(=O)O)C=C1[N+](=O)[O-],,7.0,298.0,-17.7,,1266,7.14,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2902,beta-cyclodextrin,444041,CCOC(=O)C1(C2=CC=CC=C2)CCN(C)CC1,,7.0,298.0,-12.13,,134,4.9,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,True
2903,beta-cyclodextrin,444041,CCCCCC[C@H](C)OC(=O)OC1=CC=C([N+](=O)[O-])C=C1,,7.0,298.0,-14.16,,303,5.71,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2904,beta-cyclodextrin,444041,CCCCCC[C@@H](C)OC(=O)OC1=CC=C([N+](=O)[O-])C=C1,,7.0,298.0,-13.44,,227,5.42,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2905,beta-cyclodextrin,444041,CCCN(CCC)[C@@H]1COC2=CC=CC(O)=C2C1,,7.0,298.0,-12.67,,166,5.11,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2906,beta-cyclodextrin,444041,CCCN(CCC)[C@H]1COC2=CC=CC(O)=C2C1,,7.0,298.0,-12.21,,138,4.93,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2907,beta-cyclodextrin,444041,C1=CC=C2C(=C1)C1=CC=CC3=C1C2=CC=C3,,7.0,298.0,-12.57,,160,5.08,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,True
